DATE,age,bmr,body_fat,date_join,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,gender,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight,date,tempmean,tempmax,tempmin,precip,snow,location
20130603,30.21643835616439,1936.9469111095889,0.0,20130603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,1485.0,133.212000206,2168.0,28920.0,166.0,4320.0,2764.0,2070.158911315589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,7116.0,32748.0,4.0,-4152.0,1.0,4326.0,29880.0,25554.0,74.0,0.0,86.1825,20130603,72,78,66,0.87,0.0,knyc-central park
20130604,30.21917808219178,1936.928404260274,0.0,20130604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3114.0,290.195000231,4763.0,28980.0,685.0,9540.0,5992.0,2227.123404491274,0.0,0.0,23399.0,997.0,26882.0,0.0,22682.0,1.0,1080.0,3443.0,2363.0,8.0,0.0,0.0,0.0,-2281.0,5695.0,21775.0,3.0,-4325.0,1.0,10020.0,21180.0,11160.0,73.0,0.0,86.1825,20130604,66,75,57,0.0,0.0,knyc-central park
20130605,30.221917808219175,1936.9098974109588,0.0,20130605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4902.0,446.081002712,7401.0,29340.0,1076.0,8520.0,9322.0,2382.990900122959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2219.0,3635.0,29725.0,3.0,1225.0,1.0,8220.0,25800.0,17580.0,73.0,0.0,86.1825,20130605,66,74,58,0.0,0.0,knyc-central park
20130606,30.224657534246568,1936.891390561644,0.0,20130606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,9500.0,1157.41400835,16702.0,28620.0,3301.0,10320.0,19262.0,3094.3053989116443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2161.0,2649.0,20271.0,3.0,-2829.0,1.0,7380.0,20490.0,13110.0,66.0,0.0,86.1825,20130606,65,70,59,0.13,0.0,knyc-central park
20130607,30.227397260273968,1936.8728837123288,0.0,20130607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,5687.0,523.154002815,8495.0,30300.0,959.0,14820.0,10736.0,2460.026886527329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2821.0,9609.0,31671.0,3.0,-6429.0,1.0,10081.0,31560.0,21479.0,95.0,0.0,86.1825,20130607,61,63,59,4.16,0.0,knyc-central park
20130608,30.23013698630137,1936.8543768630136,0.0,20130608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,8129.0,683.052007467,11289.0,26100.0,1311.0,7260.0,14729.0,2619.906384330013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14759.0,3349.0,34871.0,1.0,13271.0,1.0,9540.0,19500.0,9960.0,60.0,0.0,86.1825,20130608,67,77,57,0.48,0.0,knyc-central park
20130609,30.232876712328768,1936.8358700136987,0.0,20130609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,4640.0,450.845000461,7098.0,29160.0,1484.0,13620.0,8941.0,2387.6808704746986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12923.0,0.0,41723.0,0.0,12923.0,1.0,0.0,28800.0,0.0,0.0,0.0,86.1825,20130609,72,80,63,0.0,0.0,knyc-central park
20130610,30.235616438356168,1936.8173631643838,0.0,20130610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,8902.0,1098.15100549,15727.0,21120.0,3600.0,6180.0,18060.0,3034.9683686543835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1621.0,4961.0,21362.0,2.0,-5338.0,1.0,7920.0,22039.0,14119.0,67.0,0.0,86.1825,20130610,66,70,62,1.38,0.0,knyc-central park
20130611,30.23835616438356,1936.7988563150684,0.0,20130611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,6411.0,545.443002999,9158.0,22920.0,1040.0,4380.0,11809.0,2482.2418593140687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,-7261.0,3950.0,21134.0,2.0,-8566.0,1.0,10142.0,25796.0,15654.0,82.0,0.0,86.1825,20130611,72,80,64,0.09,0.0,knyc-central park
20130612,30.24109589041096,1936.7803494657533,0.0,20130612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.778,3555.0,315.79000169,5341.0,27240.0,749.0,4200.0,6757.0,2252.570351155753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1501.0,1845.0,32281.0,2.0,-1919.0,1.0,9660.0,32414.0,22754.0,92.0,0.0,86.1825,20130612,71,76,65,0.0,0.0,knyc-central park
